Source,Target,Weight
Gregory Cu,Fili Emerson Chua,1
Gregory Cu,Fritz Kevin Flores,1
Gregory Cu,Jeno Paolo Rigor,1
Gregory Cu,Jocelynn Cu,1
Gregory Cu,John Lawrence Peñafiel,1
Gregory Cu,Nikkol John Morales,1
Guido David,Giovanni A. Tapang,1
Hadrian Ang,Miguel Palma,1
Harriet Angelie A. Gonzales,Kurt Junshean P. Espinosa,1
Harvey Ian Arbas,Ara Abigail Ambita,1
Harvey Ian Arbas,Ligaya Leah Figueroa,1
Heinrich Von P. Woogue,Kim Christian T. Cubillan,1
Heinrich Von P. Woogue,Mary Jane G. Sabellano,1
Henry N. Adorna,Francis,1
Henry N. Adorna,Francis George C. Cabarle,1
Henry N. Adorna,George C. Cabarle,1
Henry N. Adorna,Jhoirene B. Clemente,1
Henry N. Adorna,Jym Paul Carandang,1
Henry N. Adorna,Kelvin Buño,1
Henry N. Adorna,Kelvin C. Buno,1
Henry N. Adorna,Nestine Hope Hernandez,1
III,John Sixto G. Santos,1
Irene Therese Bermejo,Dion Alfonso Velasco,1
Irene Therese Bermejo,Jan Nicole Domingo,1
Irene Therese Bermejo,John Cliford Rosales,1
Irene Therese Bermejo,Kennedy E. Espina,1
Irene Therese Bermejo,Ma. Regina Estuar,1
Isabel M. Constantino,Andrei D. Coronel,1
Isabel M. Constantino,Chiara Veronica D. Señires,1
Isabel M. Constantino,Pia Melissa M. Encarnacion,1
Ivy Ordanel,Henry N. Adorna,1
Jacob Chan,Ella Mara Melanie Perez,1
Jacob Chan,Paolo Gonzalez,1
Jaime DL Caro,Annette G. Lagman,1
Jaime DL Caro,Ariel S. Betan,1
Jaime DL Caro,Paulo Noel G. Paje,1
Jaime DL Caro,Rommel P. Feria,1
Jaime DL Caro,Rowena C. Solamo,1
Jaimie Bringas,Ann Franchesca Laguna,1
Jaimie Bringas,Charisse Hong,1
Jan Apolline Estrella,Christian Philip Gelera,1
Jan Apolline Estrella,Christian Quinzon,1
Jan Apolline Estrella,Edlen Mari Sanchez,1
Jan Apolline Estrella,Ethel Ong,1
Jan Apolline Estrella,Mc Jervis Villaruel,1
Jan Nicole Domingo,Dion Alfonso Velasco,1
Jan Nicole Domingo,John Cliford Rosales,1
Jan Nicole Domingo,Kennedy E. Espina,1
Jan Nicole Domingo,Ma. Regina Estuar,1
Jan Renard L. Calalang,Benjamin Ryan B. Mendoza,1
Jan Renard L. Calalang,Kevin C. Henson,1
Jane D. Palacio,John Paul V. Guim,1
Jane D. Palacio,Pierre Allan K. Santiago,1
Janica Mae M. Lam,Alden Luc R. Hade,1
Janica Mae M. Lam,Camille Alexis T.R. Saavedra,1
Janica Mae M. Lam,Ethel Ong,1
Jansen Keith Domoguen,Henry N. Adorna,1
Jansen Keith Domoguen,Ruahden F. Dang-awan,1
Jared Luke C. Pangilinan,Mervin Stewart C. Uy,1
Jared Luke C. Pangilinan,Rafael A. Cabredo,1
Jasper Haven S. Briones,Kennethe Ann Q. Mina,1
Jasper Haven S. Briones,Michelle P. Banawan,1
Jasper S. Agustin,Proceso Fernandez Jr,1
Javier Teodoro Flavier,Patricia Angela Abu,1
Jay Chester Usero,Ava Marie Villareal,1
Jay Chester Usero,Dewi Retnoningsih,1
Jayce Caylah Ching,Gener Angelo Lopez,1
Jaymee A. Olaño,III,1
Jaymee A. Olaño,John Sixto G. Santos,1
Jaymee A. Olaño,Mark Arthur A. Caro,1
Jayrah Bena E. Riñon,Renier G. Mendoza,1
Jayrah Bena E. Riñon,Victoria May Paguio Mendoza,1
Jayson A. Lucilo,Carlene P.C. Pilar-Arceo,1
Jayson A. Lucilo,Eduardo R. Mendoza,1
Jayzon Ty,Ma. Mercedes T. Rodrigo,1
Jayzon Ty,Marc Ericson Santos,1
Jazmine Paola B. Barroga,Miguel Paolo M. Quijano,1
Jazmine Paola B. Barroga,Roland Joseph M. Gudani,1
Jean Malolos,Henry N. Adorna,1
Jeau Gigataras,John Paul C. Vergara,1
Jedidiah B. Constantino,Marc Angelo P. Martinez,1
Jedidiah Caychingco,Gregory Cu,1
Jeffrey A. Aborot,Henry N. Adorna,2
Jeffrey A. Aborot,Jhoirene B. Clemente,1
Jennifer C. Ureta,Conrado R. Ruiz Jr,1
Jerry Y. Hom,Febrev F. Dela Cruz,1
Jerry Y. Hom,Ma. Christina R. Aragon,1
Jerry Y. Hom,Mark Lorenz F. Eustaquio,1
Jerry Y. Hom,Melissa P. Juanillo,1
Jessie Brian Unabia Revil,Mark Allen Secreto Saclot,1
Jhoirene B. Clemente,Henry N. Adorna,1
Jhon Rick Salvedia,Ava Marie Villareal,1
Jhon Rick Salvedia,Dewi Retnoningsih,1
Jhon Rick Salvedia,Drew Dolot,1
Jhon Rick Salvedia,Jay Chester Usero,1
Jhon Rick Salvedia,John Meynard Sanchez,1
Jian Michael Wu,Jocelynn Cu,1
Joanna De Guzman,Adrian Tobias,1
Joanna De Guzman,Jan Michael Bernardo,1
Joanna De Guzman,Ruy Josel Verano,1
Joanna Pauline Rivera,Clement Ong,1
Job Eliezek Bangayan,Jeau Gigataras,1
Job Eliezek Bangayan,John Paul C. Vergara,1
Job Eliezek Bangayan,John Richard Bunyi,1
Jocelynn Cu,Fili Emerson Chua,1
Jocelynn Cu,Jeno Paolo Rigor,1
Jocelynn Cu,John Lawrence Peñafiel,1
Jocelynn Cu,Nikkol John Morales,1
Joel D. Ilao,Rafael A. Cabredo,1
Joel M. Addawe,Pierangela C. Gabriel,1
John Carlo A. Ariola,III,1
John Carlo A. Ariola,Jaymee A. Olaño,1
John Carlo A. Ariola,John Sixto G. Santos,1
John Carlo A. Ariola,Mark Arthur A. Caro,1
John Carlo R. Gonzales,Carlo Marco S. Ortiz,1
John Carlo R. Gonzales,Marc Angelo P. Martinez,1
John Cliford Rosales,Kennedy E. Espina,1
John Cliford Rosales,Ma. Regina Estuar,1
John Darill B. Desingco,Eric R. Punzalan,1
John Darill B. Desingco,Joel P. Ilao,1
John Darill B. Desingco,Macario O. Cordel II,1
John Darill B. Desingco,Prane Mariel B. Ong,1
John Darill B. Desingco,Roger Luis Uy,1
John Dinnex M. Valeros,Al Jamil L. Arazas,1
John Dinnex M. Valeros,Allan A. Sioson,1
John Eddie D. Macias,Jheanel E. Estrada,1
John Eddie D. Macias,Vileser T. Naculangga,1
John Eric Z. Sy,Jr.,1
John Eric Z. Sy,Macliing Gabriel Q. Aydinan,1
John Eric Z. Sy,Prospero C. Naval,1
John Lawrence Peñafiel,Jeno Paolo Rigor,1
John Matthew Villaflores,Francis George C. Cabarle,1
John Matthew Villaflores,Henry N. Adorna,1
John Meynard Sanchez,Ava Marie Villareal,1
John Meynard Sanchez,Dewi Retnoningsih,1
John Meynard Sanchez,Jay Chester Usero,1
John Paul S. Guzman,Raymund C. Sison,1
John Raymound Lemuel Javier,Catherine Mae Peña,1
John Raymound Lemuel Javier,Jian Michael Wu,1
John Raymound Lemuel Javier,Jocelynn Cu,1
John Richard Bunyi,Jeau Gigataras,1
John Richard Bunyi,John Paul C. Vergara,1
John Roy Geralde,Kardi Teknomo,1
Jonathan Audric Matias,Andrei D. Coronel,1
Jonathan Audric Matias,Christine Faith Tango,1
Jonathan Audric Matias,Regine Danica Regino,1
Jonathan Danao,Cedric Festin,1
Jordan Aiko Deja,Rafael A. Cabredo,1
Jorge Gil Angeles,Jaime Samaniego,1
Jorge Gil Angeles,Katrina Joy Abriol-Santos,1
Jorge Gil Angeles,Maria Art Antonette Clari​ñ​o,1
Jorge Gil Angeles,Rocky Marcelino,1
Jose Emmanuel D. Torrijos,Adrian Cordero,1
Jose Emmanuel D. Torrijos,Enrico Sison,1
Jose Emmanuel D. Torrijos,Ma. Regina Estuar,1
Jose Mari Ramos,Roselle S. Basa,1
Jose Mari Ramos,Sean Michael Amador,1
Jose Mirabueno,Andrei D. Coronel,1
Jose Mirabueno,Justin San Pedro,1
Joseph Benjamin Ferrer,Anthony Brian Dy,1
Joseph Benjamin Ferrer,Cedric Festin,1
Joseph Benjamin Ferrer,Christian Edensor Arbon,1
Joseph J. Bautista,Proceso  Fernandez Jr.,1
Josephine S. Dela Cruz,Ma. Mercedes T. Rodrigo,1
Joseph Ordillano,Novelle Anne Sinco,1
Joseph Ordillano,Warren Adam Sto. Tomas,1
Joshua C. Martinez,Jun Rangie C. Obispo,1
Joshua C. Martinez,May Marie P. Talandron,1
Joshua Castañeda,Cedric Festin,1
Joshua Castañeda,Elijah Joshua Cayabyab,1
Joshua Castañeda,Jonathan Danao,1
Joshua Dizon,Henry N. Adorna,1
Joshua Dizon,Jean Malolos,1
Joshua Dizon,Somnath Bera,1
Joshua Manto,Arvin Medina,1
Joshua Manto,Naomi Mendaros,1
Joshua Zambales,Patricia Angela Abu,1
Juan Lorenzo Hagad,Merlin Teodosia C. Suarez,1
Juan Miguel C. Roman,Cecil Jose A. Delfinado,1
Juan Miguel C. Roman,Trisha Regine P. Wang,1
Juan Miguel Ninobla,David Joseph Catemprate,1
Juan Miguel Ninobla,Nigel Roi Concepcion,1
Juan Miguel Ninobla,Ronald Pascual,1
Jun Rangie Obispo,Mark Joseph Ronquillo,1
Justin David Pineda,Adrian Tobias,1
Justin David Pineda,Jan Michael Bernardo,1
Justin David Pineda,Joanna De Guzman,1
Justin David Pineda,Ruy Josel Verano,1
Justin San Pedro,Andrei D. Coronel,1
Jym Paul A. Carandang,Francis George C. Cabarle,1
Jym Paul A. Carandang,Henry N. Adorna,1
Jym Paul A. Carandang,Kelvin Buño,1
Jym Paul A. Carandang,Nestine Hope S. Hernandez,1
Jym Paul Carandang,Francis George C. Cabarle,1
Jym Paul Carandang,Henry N. Adorna,1
Jym Paul Carandang,John Matthew Villaflores,1
Karl Joseph Centillo,Catherine Mae Peña,1
Karl Joseph Centillo,Jian Michael Wu,1
Karl Joseph Centillo,Jocelynn Cu,1
Karl Joseph Centillo,John Raymound Lemuel Javier,1
Karlo Soriano,Cedric Festin,1
Katrina B. Calpito,Cecil Jose A. Delfinado,1
Katrina B. Calpito,David Jonathan L. Relacion,1
Katrina B. Calpito,Juan Miguel C. Roman,1
Katrina B. Calpito,Trisha Regine P. Wang,1
Katrina B. Gapuz,Ephraim D. Mendoza,1
Katrina B. Gapuz,Henry N. Adorna,1
Katrina B. Gapuz,Nestine Hope S. Hernandez,1
Katrina B. Gapuz,Richelle Ann B. Juayong,1
Katrina Joy Abriol-Santos,Jaime Samaniego,1
Katrina Joy M. Abriol-Santos,Joseph Anthony C. Hermocilla,1
Katrina T. Lacsamana,Albert H. Rivera,1
Katrina T. Lacsamana,Judith J. Azcarraga,1
Katrina T. Lacsamana,Mary B. Malana,1
Kelvin Buño,Henry N. Adorna,1
Kelvin Buño,Jym Paul Carandang,1
Kelvin Buño,Nestine Hope Hernandez,1
Kelvin Buño,Nestine Hope S. Hernandez,1
Kelvin C. Buno,Francis George C. Cabarle,1
Ken V. Hosoya,Jared Luke C. Pangilinan,1
Ken V. Hosoya,Mervin Stewart C. Uy,1
Ken V. Hosoya,Rafael A. Cabredo,1
Kenneth Royce Brigola,Annalyn Reganit,1
Kenneth Royce Brigola,Christine Joy Infante,1
Kenneth Royce Brigola,Juan Lorenzo Hagad,1
Kenneth Royce Brigola,Merlin Teodosia C. Suarez,1
Kenneth Royce Brigola,Paolo Josef,1
